"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
                    KYANGATI,2634,3102,5736,1036,134.7,42.58,,,
                    MALAWA,2598,3027,5625,1052,758.81,7.41,,,
                NUU,4677,5122,9799,1886,285.38,34.34,,,
                    NYAANI,1502,1628,3130,591,106.79,29.31,,,
                    MWAMBIU,1511,1660,3171,577,87.22,36.36,,,
                    NGAANI,1664,1834,3498,718,91.37,38.28,,,
            MUI,9372,10256,19628,4041,369.42,53.13,,,
                KALITINI,4036,4426,8462,1722,179.7,47.09,,,
                    YUMBU,1231,1295,2526,503,63.14,40.01,,,
                    ITIKO,1212,1439,2651,529,57.53,46.08,,,
                    KITISE,1593,1692,3285,690,59.03,55.65,,,
                MUI,5336,5830,11166,2319,189.73,58.85,,,
                    NGILUNI,2011,2062,4073,859,83.96,48.51,,,
                    NGOO,2160,2451,4611,932,66.67,69.16,,,
                    NGUNGI,1165,1317,2482,528,39.1,63.47,,,
        KYUSO,65187,74780,139967,26848,4821.44,29.03,,,
            KYUSO,18717,21658,40375,7895,803.37,50.26,,,
                KYUSO,5003,5684,10687,2113,194.86,54.84,,,
                    GAI,2897,3135,6032,1246,115.57,52.2,,,
                    NGAIE,2106,2549,4655,867,79.3,58.7,,,
                KAMUWONGO,3676,4380,8056,1601,93.5,86.16,,,
                    ITIVA-NZOU,2029,2497,4526,882,64.81,69.83,,,
                    KAMUWONGO,1647,1883,3530,719,28.68,123.07,,,
                MIVUKONI,4142,4735,8877,1654,257.61,34.46,,,
                    KAMULA,1126,1225,2351,411,75.24,31.24,,,
                    KATUKA,975,1218,2193,420,63.99,34.27,,,
                    TWIMYUA,1396,1532,2928,562,82.67,35.42,,,
                    MATAKA,645,760,1405,261,35.7,39.36,,,
                KIMANGAO,5896,6859,12755,2527,257.4,49.55,,,
                    KISEUNI,877,1011,1888,361,69.02,27.35,,,
                    KIMANGAO,1790,2088,3878,782,74.28,52.21,,,
                    KIMU,2144,2430,4574,924,62.2,73.53,,,
                    MASEKI,1085,1330,2415,460,51.9,46.53,,,
            NGOMENI,8748,9699,18447,3455,1619.37,11.39,,,
                MITAMISYI,3896,4363,8259,1521,660.89,12.5,,,
                    KIMELA,1294,1456,2750,531,270.21,10.18,,,
                    NDATANI,777,912,1689,296,77.93,21.67,,,
                    MITAMYISI,1001,1034,2035,380,261.22,7.79,,,
                    KAMUSILIU,824,961,1785,314,51.53,34.64,,,
                NGOMENI,4852,5336,10188,1934,958.48,10.63,,,
                    KAVAANI,1636,1651,3287,618,460.51,7.14,,,
                    KALWA,1059,1133,2192,404,75.65,28.98,,,
                    KAVUTI,944,1167,2111,440,53.93,39.15,,,
                    IKIME,1213,1385,2598,472,368.4,7.05,,,
            TSEIKURU,15771,18065,33836,6402,1328.39,25.47,,,
                TSEIKURU,5218,6008,11226,2220,261.65,42.91,,,
                    KAIVIRYA,963,1024,1987,376,54.13,36.71,,,
                    NGONGONI,594,677,1271,231,41.51,30.62,,,
                    KASYATHYUMI,862,990,1852,353,35.64,51.96,,,
                    NGALANGE,1173,1415,2588,462,66.99,38.63,,,
                    NZIITU,1626,1902,3528,798,63.37,55.67,,,
                MASYUNGWA,5059,5849,10908,1934,739.54,14.75,,,
                    KITOVOTO,1978,2385,4363,790,494.62,8.82,,,
                    KATHIANI,1490,1650,3140,551,72.31,43.42,,,
                    KYANDANI,1591,1814,3405,593,172.61,19.73,,,
                MUSAVANI,5494,6208,11702,2248,327.2,35.76,,,
                    USUENI,1360,1574,2934,569,70.17,41.81,,,
                    KANINGO,1444,1496,2940,552,113.84,25.82,,,
                    NGERENI,940,1159,2099,398,52.58,39.92,,,
                    KYENINI,1750,1979,3729,729,90.61,41.15,,,
            MUMONI,21951,25358,47309,9096,1070.32,44.2,,,
                MUKONG'A,2108,2360,4468,921,173.07,25.82,,,
                    MUKONG'A,843,985,1828,429,71.79,25.46,,,
                    IKONGO,1265,1375,2640,492,101.28,26.07,,,
                KANTHUNGU,2917,3328,6245,1181,173.18,36.06,,,
                    KAMAINDI,1345,1483,2828,516,68.67,41.18,,,
                    KANTHUNGU,960,1123,2083,386,67.48,30.87,,,
                    GATORONI,612,722,1334,279,37.03,36.02,,,
                KATSE,3078,3451,6529,1340,110.59,59.04,,,
                    KAMATHITU,799,887,1686,314,27.06,62.3,,,
                    KONYU,950,1104,2054,411,48.35,42.48,,,
                    MBARANI,1329,1460,2789,615,35.18,79.27,,,
                KAKUYU,6805,8043,14848,2798,300.05,49.48,,,
                    TYAA KAMUTHALE,2437,2965,5402,1028,86.24,62.64,,,
                    NGUNGANI,1957,2312,4269,767,82.05,52.03,,,
                    KYANDALI,1153,1291,2444,477,58.71,41.63,,,
                    KAKUYU,1258,1475,2733,526,73.05,37.41,,,
                THARAKA,3203,3636,6839,1264,189.2,36.15,,,
                    KANYENGYA,547,626,1173,209,29.73,39.45,,,
                    GACIGONGO,1218,1384,2602,464,81.61,31.88,,,
                    GACOMBE,1438,1626,3064,591,77.86,39.35,,,
                MUTANDA,1814,2190,4004,795,64.21,62.36,,,
                    WANGUTU,630,717,1347,261,25.2,53.45,,,
                    MUTANDA,472,611,1083,211,16.47,65.77,,,
                    KALIWA,712,862,1574,323,22.54,69.84,,,
                NGUUKU,2026,2350,4376,797,60.01,72.93,,,
                    MUSOSYA,885,1002,1887,362,23.4,80.62,,,
                    KATHIANI/NGUUKU,389,476,865,161,16.55,52.27,,,
                    KATIA,752,872,1624,274,20.05,80.98,,,
        MACHAKOS,223521,219409,442930,117873,1975.53,224.21,,,
            ATHI RIVER,76127,63375,139502,45482,843.18,165.45,,,
                ATHI RIVER,27238,24055,51293,17949,77.79,659.39,,,
                    ATHII  RIVER NORTH,790,782,1572,353,38.33,41.01,,,
                    ATHI RIVER TOWNSHIP,26448,23273,49721,17596,39.46,1260.19,,,
                KATANI,30445,25089,55534,17919,173.03,320.96,,,
                    KATANI,5058,4925,9983,2541,40.77,244.88,,,
                    NGELANI,1921,1476,3397,1046,94.96,35.77,,,
                    SYOKIMAU,23466,18688,42154,14332,37.3,1130.02,,,
                LUKENYA,18444,14231,32675,9614,592.36,55.16,,,
                    MATHATANI,5983,4486,10469,3247,282.6,37.04,,,
                    KINANIE,4024,3045,7069,2140,129.34,54.65,,,
                    MUTHWANI,8437,6700,15137,4227,180.42,83.9,,,
            CENTRAL,77252,79125,156377,39444,632.74,247.14,,,
                MUA HILLS,3857,3896,7753,1756,50.31,154.1,,,
                    KYANDA,1264,1312,2576,589,14.6,176.44,,,
                    MUA HILLS,1869,1837,3706,829,21.9,169.25,,,
                    KYAANI,724,747,1471,338,13.82,106.47,,,
                NGELANI,5097,5669,10766,2503,15.24,706.65,,,
                    NZOWENI,1652,1807,3459,754,3.72,929.21,,,
                    NGELANI,1716,1860,3576,837,7.22,495.58,,,
                    KAMUTHANGA,1729,2002,3731,912,4.3,868.3,,,
                MUTITUNI,6270,6700,12970,3088,11.57,1120.92,,,
                    NDUU,1791,1975,3766,880,4.89,770.79,,,
                    MUTITUNI,2540,2594,5134,1258,2.79,1839.42,,,
                    KIVUTINI,1939,2131,4070,950,3.89,1045.22,,,
                KATHEKAKAI,9337,8483,17820,4087,131.84,135.17,,,
                    KITANGA,2240,1985,4225,938,37.52,112.61,,,
                    MIKUYU,2216,1877,4093,984,53.87,75.97,,,
                    KATELEMBO,3303,3111,6414,1477,31.86,201.31,,,
                    KATHEKA-KAI,1578,1510,3088,688,8.58,359.78,,,
                MUMBUNI,22732,23419,46151,11652,48.09,959.66,,,
                    MUNGALA,4034,4133,8167,1893,8.15,1002.59,,,
                    KASINGA,4169,4324,8493,1934,12.58,675.19,,,
                    UPPER KIANDANI,4771,4874,9645,2567,6.99,1379.73,,,
                    LOWER KIANDANI,5639,6020,11659,3418,9.72,1199.42,,,
                    MISAKWANI,4119,4068,8187,1840,10.66,768.34,,,
                TOWNSHIP,7186,7512,14698,4327,5,2938.37,,,
                    EASTLEIGH,3002,3282,6284,1366,2.29,2746.5,,,
                    MJINI,4184,4230,8414,2961,2.71,3100.11,,,
                KIIME KIMWE,11420,11805,23225,6766,15.96,1455.07,,,
                    MUTHINI,5285,5340,10625,3616,1.4,7585.49,,,
                    MWANYANI,976,921,1897,461,1.61,1176.14,,,
                    KATOLONI,3038,3382,6420,1780,4.54,1414.03,,,
                    MBILINI,1043,1063,2106,453,4.89,430.68,,,
                    KIIMA KIMWE,1078,1099,2177,456,3.52,618.87,,,
                MUVUTI,4482,4706,9188,2023,21.05,436.46,,,
                    MUVUTI,1871,1863,3734,798,9.61,388.39,,,
                    KIVANDINI,2611,2843,5454,1225,11.44,476.86,,,
                KIMUTWA,6871,6935,13806,3242,333.68,41.37,,,
                    KYANZASU,1386,1391,2777,642,15.36,180.78,,,
                    KAATHI,1427,1616,3043,637,15.33,198.45,,,
                    KIMUTWA,3265,3270,6535,1541,47.34,138.05,,,
                    KONZA,793,658,1451,422,255.65,5.68,,,
            KATHIANI,49945,54272,104217,23412,207.08,503.27,,,
                MITABONI,14402,15653,30055,6963,80.51,373.3,,,
                    MITABONI,3304,3387,6691,1602,14.72,454.41,,,
                    MIUMBUNI,2199,2316,4515,1021,11.48,393.39,,,
                    KINYAU,2507,2634,5141,1161,31.61,162.66,,,
                    MATHUNYA,1894,2159,4053,934,7.06,574.23,,,
                    THINU,2187,2543,4730,1143,7.55,626.75,,,
                    NGIINI,2311,2614,4925,1102,8.1,608.13,,,
                KATHIANI,11607,12783,24390,5635,38.43,634.71,,,
                    KAIANI,2252,2465,4717,1108,10.99,429.17,,,
                    NGOLENI,2447,2684,5131,1150,7.1,722.56,,,
                    MBEE,2505,2781,5286,1161,7.48,706.57,,,
                    LITA,1685,1848,3533,805,5.8,609.56,,,
                    KATHIANI,2718,3005,5723,1411,7.06,810.88,,,
                KAEWA,10623,11723,22346,4920,37.43,597.01,,,
                    KAEWA,2577,2804,5381,1162,7.14,753.95,,,
                    KALUNGA,2256,2398,4654,1019,4.94,941.21,,,
                    KITHIA,1803,2023,3826,898,5.37,712.25,,,
                    KAUTI,2118,2350,4468,998,10.68,418.44,,,
                    ITHAENI,1869,2148,4017,843,9.3,431.99,,,
                IVETI,13313,14113,27426,5894,50.71,540.84,,,
                    IVETI,1688,1776,3464,747,5.9,587.28,,,
                    KITUNDUNI,1899,1976,3875,821,7.47,518.42,,,
                    KOMBU,2190,2392,4582,966,4.86,942.53,,,
                    KAANI,3233,3490,6723,1457,20.61,326.25,,,
                    KALILUNI,4303,4479,8782,1903,11.87,739.96,,,
            KALAMA,20197,22637,42834,9535,292.54,146.42,,,
                LUMBWA,6021,6454,12475,2820,148.63,83.93,,,
                    MUUMANDU,6021,6454,12475,2820,148.63,83.93,,,
                KALAMA,5254,5901,11155,2434,52.92,210.79,,,
                    KIITINI,2957,3328,6285,1419,35.37,177.71,,,
                    NZIUNI,2297,2573,4870,1015,17.55,277.44,,,
                KYANGALA,3234,3860,7094,1652,30.19,235,,,
                    KAKUYUNI,1155,1299,2454,568,7.84,312.98,,,
                    KYANGALA,1040,1258,2298,541,10.46,219.69,,,
                    KINOI,1039,1303,2342,543,11.89,197.04,,,
                KOLA,5688,6422,12110,2629,60.8,199.19,,,
                    KATANGA,3616,4079,7695,1643,34.18,225.13,,,
                    IIUNI,2072,2343,4415,986,26.62,165.87,,,
